source_1,source_2,axe,description,criticite
INFO834_INGE_CM,INFO834_IDU,normalisation_codes,Le module 'INFO834' est nommé 'INFO834_INGE_CM' dans ADE au lieu de 'INFO834_IDU_INGE_CM' (forme cohérente avec la maquette),majeur
PROJ531_TDG_3,PROJ531_IDU,normalisation_codes,Le module 'PROJ531' est nommé 'PROJ531_TDG_3' dans ADE au lieu de 'PROJ531_IDU_TDG_3' (forme cohérente avec la maquette),majeur
INFO633_A08_G1,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A08_G1' dans ADE au lieu de 'INFO633_IDU_A08_G1' (forme cohérente avec la maquette),majeur
DATA832_INGE_TPPTD_2h,DATA832_IDU,normalisation_codes,Le module 'DATA832' est nommé 'DATA832_INGE_TPPTD_2h' dans ADE au lieu de 'DATA832_IDU_INGE_TPPTD_2h' (forme cohérente avec la maquette),majeur
PROJ831_INGE_Auto,PROJ831_IDU,normalisation_codes,Le module 'PROJ831' est nommé 'PROJ831_INGE_Auto' dans ADE au lieu de 'PROJ831_IDU_INGE_Auto' (forme cohérente avec la maquette),majeur
INFO633_A10_G1,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A10_G1' dans ADE au lieu de 'INFO633_IDU_A10_G1' (forme cohérente avec la maquette),majeur
PROJ531_TPG2,PROJ531_IDU,normalisation_codes,Le module 'PROJ531' est nommé 'PROJ531_TPG2' dans ADE au lieu de 'PROJ531_IDU_TPG2' (forme cohérente avec la maquette),majeur
ISOC931_TP_BU,ISOC931_IDU,normalisation_codes,Le module 'ISOC931' est nommé 'ISOC931_TP_BU' dans ADE au lieu de 'ISOC931_IDU_TP_BU' (forme cohérente avec la maquette),majeur
ISOC631_INGE_TDG,ISOC631_IDU,normalisation_codes,Le module 'ISOC631' est nommé 'ISOC631_INGE_TDG' dans ADE au lieu de 'ISOC631_IDU_INGE_TDG' (forme cohérente avec la maquette),majeur
PROJ531_TPG1,PROJ531_IDU,normalisation_codes,Le module 'PROJ531' est nommé 'PROJ531_TPG1' dans ADE au lieu de 'PROJ531_IDU_TPG1' (forme cohérente avec la maquette),majeur
INFO633_A03_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A03_G2' dans ADE au lieu de 'INFO633_IDU_A03_G2' (forme cohérente avec la maquette),majeur
INFO633_A11_G1,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A11_G1' dans ADE au lieu de 'INFO633_IDU_A11_G1' (forme cohérente avec la maquette),majeur
ISOC831_Ingénieur BI,ISOC831_IDU,normalisation_codes,Le module 'ISOC831' est nommé 'ISOC831_Ingénieur BI' dans ADE au lieu de 'ISOC831_IDU_Ingénieur BI' (forme cohérente avec la maquette),majeur
PROJ531_TDG_1,PROJ531_IDU,normalisation_codes,Le module 'PROJ531' est nommé 'PROJ531_TDG_1' dans ADE au lieu de 'PROJ531_IDU_TDG_1' (forme cohérente avec la maquette),majeur
INFO831_INGE_TP1,INFO831_IDU,normalisation_codes,Le module 'INFO831' est nommé 'INFO831_INGE_TP1' dans ADE au lieu de 'INFO831_IDU_INGE_TP1' (forme cohérente avec la maquette),majeur
INFO831_INGE_Exam,INFO831_IDU,normalisation_codes,Le module 'INFO831' est nommé 'INFO831_INGE_Exam' dans ADE au lieu de 'INFO831_IDU_INGE_Exam' (forme cohérente avec la maquette),majeur
CM INFO931,INFO931_IDU,normalisation_codes,Le module 'INFO931' est nommé 'CM INFO931' dans ADE au lieu de 'CM INFO931_IDU' (forme cohérente avec la maquette),majeur
INFO633_A12_G1,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A12_G1' dans ADE au lieu de 'INFO633_IDU_A12_G1' (forme cohérente avec la maquette),majeur
DATA831_INGE_CM,DATA831_IDU,normalisation_codes,Le module 'DATA831' est nommé 'DATA831_INGE_CM' dans ADE au lieu de 'DATA831_IDU_INGE_CM' (forme cohérente avec la maquette),majeur
DATA732_INGE_Proj,DATA732_IDU,normalisation_codes,Le module 'DATA732' est nommé 'DATA732_INGE_Proj' dans ADE au lieu de 'DATA732_IDU_INGE_Proj' (forme cohérente avec la maquette),majeur
TD INFO932,INFO932_IDU,normalisation_codes,Le module 'INFO932' est nommé 'TD INFO932' dans ADE au lieu de 'TD INFO932_IDU' (forme cohérente avec la maquette),majeur
DATA731_INGE_CM,DATA731_IDU,normalisation_codes,Le module 'DATA731' est nommé 'DATA731_INGE_CM' dans ADE au lieu de 'DATA731_IDU_INGE_CM' (forme cohérente avec la maquette),majeur
DATA732_INGE_TD,DATA732_IDU,normalisation_codes,Le module 'DATA732' est nommé 'DATA732_INGE_TD' dans ADE au lieu de 'DATA732_IDU_INGE_TD' (forme cohérente avec la maquette),majeur
INFO501_ET_2emeSession_tiersTemps,INFO501_IDU,normalisation_codes,Le module 'INFO501' est nommé 'INFO501_ET_2emeSession_tiersTemps' dans ADE au lieu de 'INFO501_IDU_ET_2emeSession_tiersTemps' (forme cohérente avec la maquette),majeur
MATH531_TDG_6-8,MATH531_IDU,normalisation_codes,Le module 'MATH531' est nommé 'MATH531_TDG_6-8' dans ADE au lieu de 'MATH531_IDU_TDG_6-8' (forme cohérente avec la maquette),majeur
INFO633_A09_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A09_G2' dans ADE au lieu de 'INFO633_IDU_A09_G2' (forme cohérente avec la maquette),majeur
INFO633_P01_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_P01_G2' dans ADE au lieu de 'INFO633_IDU_P01_G2' (forme cohérente avec la maquette),majeur
INFO502_TPG2,INFO502_IDU,normalisation_codes,Le module 'INFO502' est nommé 'INFO502_TPG2' dans ADE au lieu de 'INFO502_IDU_TPG2' (forme cohérente avec la maquette),majeur
INFO633_A04_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A04_G2' dans ADE au lieu de 'INFO633_IDU_A04_G2' (forme cohérente avec la maquette),majeur
ISOC631_INGE_TPG2,ISOC631_IDU,normalisation_codes,Le module 'ISOC631' est nommé 'ISOC631_INGE_TPG2' dans ADE au lieu de 'ISOC631_IDU_INGE_TPG2' (forme cohérente avec la maquette),majeur
ISOC531_TPG2,ISOC531_IDU,normalisation_codes,Le module 'ISOC531' est nommé 'ISOC531_TPG2' dans ADE au lieu de 'ISOC531_IDU_TPG2' (forme cohérente avec la maquette),majeur
INFO633_A16_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A16_G2' dans ADE au lieu de 'INFO633_IDU_A16_G2' (forme cohérente avec la maquette),majeur
ISOC631_INGE_CM,ISOC631_IDU,normalisation_codes,Le module 'ISOC631' est nommé 'ISOC631_INGE_CM' dans ADE au lieu de 'ISOC631_IDU_INGE_CM' (forme cohérente avec la maquette),majeur
ISOC831_Sopra_AdminLinux,ISOC831_IDU,normalisation_codes,Le module 'ISOC831' est nommé 'ISOC831_Sopra_AdminLinux' dans ADE au lieu de 'ISOC831_IDU_Sopra_AdminLinux' (forme cohérente avec la maquette),majeur
PROJ731_INGE_APP,PROJ731_IDU,normalisation_codes,Le module 'PROJ731' est nommé 'PROJ731_INGE_APP' dans ADE au lieu de 'PROJ731_IDU_INGE_APP' (forme cohérente avec la maquette),majeur
